"Code","Symbol","Industry","Board"
"CSCO.BA","CISCO SYSTEMS CEDEARS ECH 5 REP 1 COM NPV","Unknown","BCBA"
"CTIO.BA","Consultatio SA","Unknown","BCBA"
"CVX.BA","CHEVRON CORP CEDEAR EACH 8 REP 1 USD0.75","Unknown","BCBA"
"CVZA.BA","Compania Industrial Cervecera S.A.","Unknown","BCBA"
"CVZA5.BA","Compania Industrial Cervecera S.A.","Unknown","BCBA"
"CX.BA","CEMEX SAB DE CV CEDEAR EACH REPR 1 ADR","Unknown","BCBA"
"DAI.BA","DAIMLER AG CEDEAR EACH 4 REP 1 ORD","Unknown","BCBA"
"DD.BA","DU PONT DE NEMOURS CEDEAR REP 1/5 COM USD0.30","Unknown","BCBA"
"DEO.BA","DIAGEO CEDEAR EACH REP 0.5 ADR","Unknown","BCBA"
"DGCU2.BA","Distribuidora de Gas Cuyana SA","Unknown","BCBA"
"DISN.BA","WALT DISNEY CO. 8 CEDEAR REP 1 COM USD0.01","Unknown","BCBA"
"DOME.BA","Domec Cia de Artefactos Domest SAIC y F","Unknown","BCBA"
"DSUR.BA","Empresa Distribuidora Sur SA","Unknown","BCBA"
"DYCA.BA","Dycasa S.A.","Unknown","BCBA"
"DYCA5.BA","Dycasa S.A.","Unknown","BCBA"
"E.BA","ENI SPA CEDEAR 4 REP 1 ADR","Unknown","BCBA"
"EBAY.BA","EBAY INC CEDEAR EA REP 1 SHR","Unknown","BCBA"
"EDLH.BA","Edesal Holding SA","Unknown","BCBA"
"EDN.BA","Empresa Distribuidora y Cmrclzdr Nort SA","Unknown","BCBA"
"EDSH.BA","Edesa Holding SA","Unknown","BCBA"
"EGSH.BA","EGSSA HOLDING S.A. COM ARS1","Unknown","BCBA"
"EMC.BA","EMC CORP(MASS) CEDEAR EACH 4 REP 1 USD0.01","Unknown","BCBA"
"EMDE.BA","Empresa Distribuidora Electrica Reg SA","Unknown","BCBA"
"ERAR.BA","Siderar S.A.I.C.","Unknown","BCBA"
"ESME.BA","Bodegas Esmeralda SA","Unknown","BCBA"
"ESME5.BA","Bodegas Esmeralda SA","Unknown","BCBA"
"ESTR.BA","Angel Estrada y Compania S.A.","Unknown","BCBA"
