"Code","Symbol","Industry","Board"
"CSCO.AR","CISCO SYSTEMS CEDEARS ECH 5 REP 1 COM NPV","Unknown","BCBA"
"CTIO.AR","Consultatio SA","Unknown","BCBA"
"CVX.AR","CHEVRON CORP CEDEAR EACH 8 REP 1 USD0.75","Unknown","BCBA"
"CVZA.AR","Compania Industrial Cervecera S.A.","Unknown","BCBA"
"CVZA5.AR","Compania Industrial Cervecera S.A.","Unknown","BCBA"
"CX.AR","CEMEX SAB DE CV CEDEAR EACH REPR 1 ADR","Unknown","BCBA"
"DAI.AR","DAIMLER AG CEDEAR EACH 4 REP 1 ORD","Unknown","BCBA"
"DD.AR","DU PONT DE NEMOURS CEDEAR REP 1/5 COM USD0.30","Unknown","BCBA"
"DEO.AR","DIAGEO CEDEAR EACH REP 0.5 ADR","Unknown","BCBA"
"DGCU2.AR","Distribuidora de Gas Cuyana SA","Unknown","BCBA"
"DISN.AR","WALT DISNEY CO. 8 CEDEAR REP 1 COM USD0.01","Unknown","BCBA"
"DOME.AR","Domec Cia de Artefactos Domest SAIC y F","Unknown","BCBA"
"DSUR.AR","Empresa Distribuidora Sur SA","Unknown","BCBA"
"DYCA.AR","Dycasa S.A.","Unknown","BCBA"
"DYCA5.AR","Dycasa S.A.","Unknown","BCBA"
"E.AR","ENI SPA CEDEAR 4 REP 1 ADR","Unknown","BCBA"
"EBAY.AR","EBAY INC CEDEAR EA REP 1 SHR","Unknown","BCBA"
"EDLH.AR","Edesal Holding SA","Unknown","BCBA"
"EDN.AR","Empresa Distribuidora y Cmrclzdr Nort SA","Unknown","BCBA"
"EDSH.AR","Edesa Holding SA","Unknown","BCBA"
"EGSH.AR","EGSSA HOLDING S.A. COM ARS1","Unknown","BCBA"
"EMC.AR","EMC CORP(MASS) CEDEAR EACH 4 REP 1 USD0.01","Unknown","BCBA"
"EMDE.AR","Empresa Distribuidora Electrica Reg SA","Unknown","BCBA"
"ERAR.AR","Siderar S.A.I.C.","Unknown","BCBA"
"ESME.AR","Bodegas Esmeralda SA","Unknown","BCBA"
"ESME5.AR","Bodegas Esmeralda SA","Unknown","BCBA"
"ESTR.AR","Angel Estrada y Compania S.A.","Unknown","BCBA"
"ESTR5.AR","Angel Estrada y Compania S.A.","Unknown","BCBA"
"EURO.AR","Euromayor SA de Inversiones","Unknown","BCBA"
"EURO5.AR","Euromayor SA de Inversiones","Unknown","BCBA"
"FCX.AR","FREEPORT-MCMORAN CEDEAR EACH REP 1/4 ORD SHS","Unknown","BCBA"
"FDX.AR","FEDEX CORP CEDEAR ECH 2 REP 1 USD0.1","Unknown","BCBA"
"FERR.AR","Ferrum S.A. de Ceramica y Metalurgia","Unknown","BCBA"
"FERR5.AR","Ferrum S.A. de Ceramica y Metalurgia","Unknown","BCBA"
"FIPL.AR","Fiplasto S.A.","Unknown","BCBA"
"FIPL5.AR","Fiplasto S.A.","Unknown","BCBA"
"FMCC.AR","FED HOME LOAN MTG CEDEAR 2 REP 1 COM USD0.21","Unknown","BCBA"
"FMX.AR","FOMENTO ECON MEXIC CEDEAR 2 REPR 1 ADR","Unknown","BCBA"
"FNMA.AR","FED NATL MORT ASSC CEDEAR EACH 3 REP 1 ORD NPV","Unknown","BCBA"
"FRAN.AR","BBVA Banco Frances SA","Unknown","BCBA"
"FSLR.AR","FIRST SOLAR INC CEDEAR EACH REPR 1/6 ADR","Unknown","BCBA"
"GALI.AR","Banco de Galicia y Buenos Aires S.A.","Unknown","BCBA"
"GARO.AR","Garovaglio y Zorraquin SA","Unknown","BCBA"
"GBAN.AR","Gas Natural BAN SA","Unknown","BCBA"
"GCLA.AR","Grupo Clarin S.A.","Unknown","BCBA"
"GE.AR","GEN ELEC CO CEDEARS EACH REPR 1/5 COM","Unknown","BCBA"
"GFI.AR","GOLD FIELDS LTD CEDEAR EACH REPR 1 ADR","Unknown","BCBA"
"GG.AR","GOLDCORP INC CEDEAR EACH REPR 1 COM NPV","Unknown","BCBA"
"GGAL.AR","Grupo Financiero Galicia S.A.","Unknown","BCBA"
"GLW.AR","CORNING INC CEDEAR (EACH 4 REP 1 ORD)","Unknown","BCBA"
"GMK.AR","BCBA:GMK","Unknown","BCBA"
"GOFF.AR","Goffre Carbone y Cia SACI","Unknown","BCBA"
"GOLD.AR","RANDGOLD RESOURCES CEDEAR EACH REP 1 ADR","Unknown","BCBA"
"GOOGL.AR","ALPHABET INC CEDEAR EA REPR 1/29 COM STK","Unknown","BCBA"
"GRAF.AR","Grafex SAGCI y F","Unknown","BCBA"
"GRAF6.AR","Grafex SAGCI y F","Unknown","BCBA"
"GRIM.AR","Grimoldi SA","Unknown","BCBA"
"GRIM5.AR","Grimoldi SA","Unknown","BCBA"
"GSK.AR","GLAXOSMITHKLINE CEDEAR EACH REPR 1/4 ADR","Unknown","BCBA"
"HAVA.AR","HAVANNA HOLDING SA ARS1 B","Unknown","BCBA"
"HD.AR","HOME DEPOT INC CEDEAR EACH REP 1/4 USD0.05","Unknown","BCBA"
"HL.AR","HECLA MINING CO CEDEAR EACH REP 1 ORD","Unknown","BCBA"
"HMC.AR","HONDA MOTOR CO CEDEAR EACH REP 1 ADR","Unknown","BCBA"
"HMY.AR","HARMONY GOLD MNG CEDEAR EACH REP 1 ADR","Unknown","BCBA"
"HOG.AR","HARLEY DAVIDSON CEDEAR EACH REP 1/3 ORD","Unknown","BCBA"
"HON.AR","HONEYWELL INTL INC CEDEAR 4 REP 1 COM USD1","Unknown","BCBA"
"HPQ.AR","HP INC CEDEAR EACH 5 REP 1 USD0.01","Unknown","BCBA"
"HSBC.AR","HSBC HOLDINGS PLC CEDEAR EACH REPR 0.5 ADR","Unknown","BCBA"
"HULI.AR","Hulytego SAIC","Unknown","BCBA"
"IAB.AR","GENERAL BCBA","Unknown","BCBA"
"IAR.AR","MERVAL ARGENTINA","Unknown","BCBA"
"IBM.AR","INTL BUSINESS MCHN CEDEAR 10 REP 1 COM USD0.2","Unknown","BCBA"
"IBN.AR","ICICI BANK CEDEAR EACH REPR 1 ADR","Unknown","BCBA"
"IEBA.AR","Inversora Electrica de Buenos Aires SA","Unknown","BCBA"
"IM25.AR","MERVAL 25 ARGENTINA","Unknown","BCBA"
"IMV.AR","MERVAL BUENOS AIRES","Unknown","BCBA"
"INAG.AR","Insumos Agroquimicos SA","Unknown","BCBA"
"INAG5.AR","Insumos Agroquimicos SA","Unknown","BCBA"
"INDU.AR","Solvay Indupa Scd Anm Indstrl Y Cmrcl","Unknown","BCBA"
"INFY.AR","INFOSYS LTD CEDEAR (4 REP 1 ADR)","Unknown","BCBA"
"ING.AR","ING GROEP N.V. CEDEAR EACH 3 REPR 1 ADR","Unknown","BCBA"
"INTC.AR","INTEL CORP CEDEAR(5 REP 1 COM USD0.001","Unknown","BCBA"
"INTR.AR","Cia. Introductora de Buenos Aires SA","Unknown","BCBA"
"INTR5.AR","Cia. Introductora de Buenos Aires SA","Unknown","BCBA"
"INVJ.AR","Inversora Juramento SA","Unknown","BCBA"
"IP.AR","INTL PAPER CO CEDEAR EACH 4 REP 1 USD1","Unknown","BCBA"
"IRCP.AR","IRSA Propiedades Comerciales SA","Unknown","BCBA"
"IRSA.AR","Irsa Inversiones y Representaciones SA","Unknown","BCBA"
"ITUB4.AR","ITAU UNIBANCO HOLD CEDEARS EA REP 1 PRF NPV","Unknown","BCBA"
"JMIN.AR","Holcim Argentina SA","Unknown","BCBA"
"JNJ.AR","JOHNSON & JOHNSON CEDEAR EACH REP O.20 ORD","Unknown","BCBA"
"JPM.AR","JPMORGAN CHASE &CO CEDEAR REP 1/10 USD2.5","Unknown","BCBA"
"KMB.AR","KIMBERLY-CLARK CP CEDEAR EACH 3 REP 1 USD1.25","Unknown","BCBA"
"KO.AR","COCA-COLA CO CEDEAR(5 REP 1 COM USD0.25)","Unknown","BCBA"
"KOFM.AR","COCA-COLA FEMSA S. CEDEAR EACH REP 2 ADS 'L'","Unknown","BCBA"
