"Code","Symbol","Industry","Board"
"JASM.F","JASMINE INTL -F-","Unknown","Frankfurt"
"PFD4.DE","Pfleiderer AG","Unknown","Xetra"
"MTX.DE","MTU Aero Engines Holdings AG","Unknown","Xetra"
"G7F.F","SECUREALERT","Unknown","Frankfurt"
"HNR1.DE","Hannover Rueck","Unknown","Xetra"
"UTX1.DE","UNITED ENERGY G-CT","Unknown","Xetra"
"S57.BE","SOUTH TEXAS OIL","Unknown","Berlin"
"BSY.DE","Boewe Systec AG","Unknown","Xetra"
"SNG.DE","Singulus Technologies AG","Unknown","Xetra"
"NDA.DE","Aurubis AG","Unknown","Xetra"
"M20.F","AMERICAN MED TCH","Unknown","Frankfurt"
"ECQ.F","PHARMAUST","Unknown","Frankfurt"
"CIX.F","SPIRIT ON MEDIA GRP","Unknown","Frankfurt"
"WFE.F","MAXX INTL","Unknown","Frankfurt"
"NG6.F","YUKON-NEVADA GOLD","Unknown","Frankfurt"
"KEH.MU","CHINESE PEOPLE HLDG","Unknown","Munich"
"4T5.F","TUNC HLDG","Unknown","Frankfurt"
"DRI.DE","Drillisch AG","Unknown","Xetra"
"BAF.DE","Balda AG","Unknown","Xetra"
"QSC.DE","QSC AG","Unknown","Xetra"
"ZMR.F","ZARUMA RESOURCES","Unknown","Frankfurt"
"TPL.DE","Teleplan International","Unknown","Xetra"
"OD0.F","DANA RES","Unknown","Frankfurt"
"T7R.F","TYROS","Unknown","Frankfurt"
"DXA.F","UPSTREAM BIOSCIENCE","Unknown","Frankfurt"
"ODO.F","Metrodome Group","Unknown","Frankfurt"
"RHM.DE","Rheinmetall AG","Unknown","Xetra"
"LSE.F","CASPIAN OIL & GAS","Unknown","Frankfurt"
"DEZ.DE","Deutz AG","Unknown","Xetra"
"NV4.F","Novelos Therapeutics Inc","Unknown","Frankfurt"
"S7JC.F","SOLARGY SYSTEMS","Unknown","Frankfurt"
"VOW.DE","Volkswagen AG","Unknown","Xetra"
"ADV.DE","Adva Optical Networking","Unknown","Xetra"
"4T5.SG","TUNC HLDG","Unknown","Stuttgart"
"MDG.DE","Medigene AG","Unknown","Xetra"
"WIN.DE","Wincor Nixdorf AG","Unknown","Xetra"
"AQU.DE","ARQUES Industries AG","Unknown","Xetra"
"HCT.F","HARTCOURT COMPANIES","Unknown","Frankfurt"
"OLJ.MU","BANGKOK LAND -F-","Unknown","Munich"
"AJ4.F","ORCHID CAPITAL","Unknown","Frankfurt"
"FEO.F","Aviza Technology Inc.","Unknown","Frankfurt"
"WCH.DE","Wacker Chemie AG","Unknown","Xetra"
"FRA.DE","Fraport AG","Unknown","Xetra"
"GN1.F","GRUNERGY TECH NPV","Unknown","Frankfurt"
"P6T.MU","PERMSIN STEEL -F-","Unknown","Munich"
"WTT.F","MARENICA ENERGY","Unknown","Frankfurt"
"OD0.SG","DANA RES","Unknown","Stuttgart"
"SOW.DE","Software AG","Unknown","Xetra"
"HNS.F","APPLIED SOLAR","Unknown","Frankfurt"
"L8A.F","KNADO","Unknown","Frankfurt"
"ESC.DE","EDOB Abwicklungs AG","Unknown","Xetra"
"UTX1.F","UNITED ENERGY G-CT","Unknown","Frankfurt"
"C5J1.F","VITAVEA","Unknown","Frankfurt"
"ARL.DE","Aareal Bank AG","Unknown","Xetra"
"RLK.F","Torrent Energy Corp.","Unknown","Frankfurt"
"YA3.F","NUPOWER RESOURCES","Unknown","Frankfurt"
"FQC.F","Dermisonics Inc","Unknown","Frankfurt"
"3ML.F","MCLAREN RESOURCES","Unknown","Frankfurt"
"IBUN.MU","GDT TEK","Unknown","Munich"
"KU2.DE","KUKA AG","Unknown","Xetra"
"D9T.F","KAL ENERGY","Unknown","Frankfurt"
"D7H.F","COMMERCE RESOURCES","Unknown","Frankfurt"
"G9S.F","G&S MINERALS","Unknown","Frankfurt"
"PAK8.BE","ANGEL ACQUISTN","Unknown","Berlin"
"ZED.F","ZEOX","Unknown","Frankfurt"
"HHFA.DE","HHLA N","Unknown","Xetra"
"BGD.F","BOULDER STEEL","Unknown","Frankfurt"
"0GH.SG","GOLD HORSE INTL","Unknown","Stuttgart"
"RF1.F","MAGNA MINING NL","Unknown","Frankfurt"
"TUD.BE","TURBODYNE TECH","Unknown","Berlin"
"BVM.F","BULLION RIVER GOLD","Unknown","Frankfurt"
"4AW.DE","MYKOGREEN","Unknown","Xetra"
"DWNI.DE","DEUTSCHE WOHNEN","Unknown","Xetra"
"XZA.F","HEMIS","Unknown","Frankfurt"
"F2S.BE","USA SUPR HLDGS","Unknown","Berlin"
"KEX.F","RAVEN GOLD","Unknown","Frankfurt"
"TVU2.F","SUNVESTA","Unknown","Frankfurt"
"A8Z.F","EQUITY CAPITAL MGMT","Unknown","Frankfurt"
"H5N.SG","WEST HAWK DEVL","Unknown","Stuttgart"
"CO0.F","CHINA HAIDA","Unknown","Frankfurt"
"GXI.DE","GERRESHEIMER","Unknown","Xetra"
"4WM.F","WORLD MARKETS","Unknown","Frankfurt"
"69A.F","AMADOR GOLD","Unknown","Frankfurt"
"KRB.DE","TERRA AURU HLDG","Unknown","Xetra"
"N7E.F","NATURAL COOL","Unknown","Frankfurt"
"0BC.F","FAIR LITIGATION","Unknown","Frankfurt"
"UUU.DE","3U Holding AG","Unknown","Xetra"
"LN7.F","LITHIUM TECHNOLOGY","Unknown","Frankfurt"
"JKS.F","JR KLINIKEN","Unknown","Frankfurt"
"A3N.F","ATW GOLD","Unknown","Frankfurt"
"I6N1.F","Exploration Drilling International Inc.","Unknown","Frankfurt"
"MM1.F","MOBIVENTURES","Unknown","Frankfurt"
"HJ1.F","MOLY MINES","Unknown","Frankfurt"
"D9C.DE","Demag Cranes AG","Unknown","Xetra"
"JEN.DE","Jenoptik AG","Unknown","Xetra"
"RG7A.F","FORTUNE RIVER RES","Unknown","Frankfurt"
"G6W.F","ASIA GLBL HLDGS","Unknown","Frankfurt"
"EEO.F","ENRO ENERGIE N","Unknown","Frankfurt"
"HEN.DE","HENKEL","Unknown","Xetra"
"AB1.DE","Air Berlin Plc","Unknown","Xetra"
"TAFF.F","TRUE CORP -F-","Unknown","Frankfurt"
"ZIL2.DE","Elringklinger AG","Unknown","Xetra"
"SR6.F","SOUP RESTAURANT GRP","Unknown","Frankfurt"
"4IB.F","IBMC CHINA AG","Unknown","Frankfurt"
"PNE3.DE","PNE Wind AG","Unknown","Xetra"
"M5G.F","Max Petroleum Plc","Unknown","Frankfurt"
"JRB.F","IBC ADVANCED","Unknown","Frankfurt"
"NL7.F","NCOAT","Unknown","Frankfurt"
"A3T.F","ARISE TECHNOLOGIES","Unknown","Frankfurt"
"F2T.F","FORSYS METAL","Unknown","Frankfurt"
"SWW.DE","Sunways AG","Unknown","Xetra"
"GMM.DE","Grammer AG","Unknown","Xetra"
"S92.DE","SMA SOLAR TECH","Unknown","Xetra"
"MQ2.F","WORLD2U MEDIA","Unknown","Frankfurt"
"D7Q1.F","MONUMENT MINING","Unknown","Frankfurt"
"VCG.F","GAIACOR INTL","Unknown","Frankfurt"
"RXC.F","SABINA GLD & SILV","Unknown","Frankfurt"
"QUU.F","GOLD ONE INTL","Unknown","Frankfurt"
"SMH.DE","Suess Microtec","Unknown","Xetra"
"GIX.F","GIPPSLAND","Unknown","Frankfurt"
"IL4.F","INDEX OIL & GAS","Unknown","Frankfurt"
"HTE2.F","YASHENG ECO-TRD","Unknown","Frankfurt"
"AHB.F","TAPSLIDE","Unknown","Frankfurt"
"G5D.F","GLOBAL HUNTER","Unknown","Frankfurt"
"MJT.F","MAJESTIC GOLD","Unknown","Frankfurt"
"FMI1.DE","Fortune Management Inc.","Unknown","Xetra"
"4VY.F","VICTORY ENERGY","Unknown","Frankfurt"
"3C2.F","COALCORP MINING","Unknown","Frankfurt"
"COK.DE","Cancom It Systeme AG","Unknown","Xetra"
"KD8.DE","KABEL DEUT HLDG","Unknown","Xetra"
