"Code","Symbol","Industry","Board"
"4040.S","Saudi Public Transport Company","Unknown","TADAWUL"
"4050.S","Saudi Automotive Services Company","Unknown","TADAWUL"
"4061.S","Anaam International Holding Group Co.","Unknown","TADAWUL"
"4070.S","Tihama Advertsg&Pbl Rltns&Mrktg Hld SJSC","Unknown","TADAWUL"
"4080.S","Aseer Trading, Tourism & Mfg. Company","Unknown","TADAWUL"
"4090.S","Taiba Holding SJSC","Unknown","TADAWUL"
"4100.S","Makkah Construction & Development Co.","Unknown","TADAWUL"
"4110.S","Saudi Transport and Investment Company","Unknown","TADAWUL"
"4130.S","Al-Baha Investment & Development Co","Unknown","TADAWUL"
"4140.S","Saudi Industrial Export Company","Unknown","TADAWUL"
"4150.S","Arriyadh Development Co","Unknown","TADAWUL"
"4160.S","National Agriculture Marketing Company","Unknown","TADAWUL"
"4170.S","Tourism Enterprise Company (Shams)","Unknown","TADAWUL"
"4180.S","Fitaihi Holding Group","Unknown","TADAWUL"
"4190.S","Jarir Marketing Company","Unknown","TADAWUL"
"4200.S","Aldrees Petroleum &Transport Services","Unknown","TADAWUL"
"4210.S","Saudi Research and Marketing Group SJSC","Unknown","TADAWUL"
"4220.S","Emaar The Economic City","Unknown","TADAWUL"
"4230.S","Red Sea Housing Services Co Ltd","Unknown","TADAWUL"
"4240.S","Fawaz Abdulaziz Al Hokair Company","Unknown","TADAWUL"
"4250.S","Jabal Omar Development Co","Unknown","TADAWUL"
"4260.S","United International Transportation Co.","Unknown","TADAWUL"
"4270.S","Saudi Printing & Packaging Co.","Unknown","TADAWUL"
"4280.S","Kingdom Holding Company","Unknown","TADAWUL"
"4290.S","Al Khaleej Training and Education Co.","Unknown","TADAWUL"
"4300.S","Dar Al Arkan Real Estate Development Co.","Unknown","TADAWUL"
"4310.S","Knowledge Economic City Co","Unknown","TADAWUL"
"4320.S","Al Andalus Property Co SJSC","Unknown","TADAWUL"
"5110.S","Saudi Electricity Company","Unknown","TADAWUL"
"6001.S","Halwani Brothers Co. Ltd.","Unknown","TADAWUL"
"6002.S","Herfy Food Services Co","Unknown","TADAWUL"
"6004.S","Saudi Airlines Catering Company","Unknown","TADAWUL"
"6010.S","National Agricultural Development Co","Unknown","TADAWUL"
"6020.S","Qassim Agriculture Co.","Unknown","TADAWUL"
"6040.S","Tabuk Agriculture Development Company","Unknown","TADAWUL"
"6050.S","Saudi Fisheries Co.","Unknown","TADAWUL"
"6060.S","Ash Sharqiyah Development Co","Unknown","TADAWUL"
"6070.S","Al Jouf Agricultural Development Co.","Unknown","TADAWUL"
"6080.S","Bishah Agriculture Development Co.","Unknown","TADAWUL"
"6090.S","Jazan Development Company","Unknown","TADAWUL"
"7010.S","Saudi Telecom Company","Unknown","TADAWUL"
"7020.S","Etihad Etisalat Company","Unknown","TADAWUL"
"7030.S","Mobile Telecommunications Co Su Arb SJSC","Unknown","TADAWUL"
"7040.S","Etihad Atheeb Telecommunication Co","Unknown","TADAWUL"
"7050.S","Saudi Integrated Telecom Co","Unknown","TADAWUL"
"8010.S","The Company for Cooperative Insurance","Unknown","TADAWUL"
"8011.S","MetLife AIG ANB for Cooperative Insurnce","Unknown","TADAWUL"
"8012.S","AlJazira Takaful Taawuni Co","Unknown","TADAWUL"
"8020.S","Malath Coop. Ins. & Reinsurance Co.","Unknown","TADAWUL"
"8030.S","Mediterranean&Gulf Coop Insrnc&Rinsrn Co","Unknown","TADAWUL"
"8040.S","Saudi Fransi Cooperative Insurance Co.","Unknown","TADAWUL"
"8050.S","Salama Cooperative Insurance Co","Unknown","TADAWUL"
"8060.S","Saudi United Cooperative Insurance Co.","Unknown","TADAWUL"
"8070.S","Arabian Shield Cooperative Insurance Co.","Unknown","TADAWUL"
"8080.S","SABB Takaful Company","Unknown","TADAWUL"
"8090.S","Sanad Insurance and Reinsurnc Coprtve Co","Unknown","TADAWUL"
"8100.S","Saudi Arabian Cooperative Insurance Co.","Unknown","TADAWUL"
"8110.S","Saudi Indian Co. for Co-operative Ins.","Unknown","TADAWUL"
"8120.S","Gulf Union Cooperative Insurance Company","Unknown","TADAWUL"
"8130.S","Alahli Takaful Company","Unknown","TADAWUL"
"8140.S","AlAhlia for Cooperative Insurance Co","Unknown","TADAWUL"
"8150.S","Allied Cooperative Insurance Group","Unknown","TADAWUL"
"8160.S","Arabia Insurance Cooperative Co.","Unknown","TADAWUL"
"8170.S","Trade Union Cooperative Insurance Co.","Unknown","TADAWUL"
"8180.S","Al Sagr Co. for Cooperative Insurance","Unknown","TADAWUL"
"8190.S","United Cooperative Assurance (UCA)","Unknown","TADAWUL"
"8200.S","Saudi Re for Cooperative Reinsurance Co","Unknown","TADAWUL"
"8210.S","BUPA Arabia (Middle East)","Unknown","TADAWUL"
"8220.S","Weqaya Takaful Insurance & Reinsurance","Unknown","TADAWUL"
"8230.S","Al Rajhi for Cooperative Insurance","Unknown","TADAWUL"
"8240.S","Ace Arabia Cooperative Insurance Company","Unknown","TADAWUL"
"8250.S","AXA Cooperative Insurance Company","Unknown","TADAWUL"
"8260.S","Gulf General Cooperative Insurance Co","Unknown","TADAWUL"
"8270.S","Buruj for Cooperative Insurance Co","Unknown","TADAWUL"
"8280.S","Al Alamiya for Cooperative Insurance Co","Unknown","TADAWUL"
"8290.S","Solidarity Saudi Takaful Company","Unknown","TADAWUL"
"8300.S","Wataniya Insurance Company","Unknown","TADAWUL"
"8310.S","Amana Cooperative Insurance","Unknown","TADAWUL"
"8311.S","Saudi Enaya Cooperative Insurance Co","Unknown","TADAWUL"
"8312.S","Alinma Tokio Marine Co","Unknown","TADAWUL"
"9400.S","FALCOM Saudi Equity ETF","Unknown","TADAWUL"
"9401.S","FALCOM PETROCHEMICAL ETF","Unknown","TADAWUL"
"9402.S","HSBC Saudi 20 ETF","Unknown","TADAWUL"
"TAFSI.S","Agriculture & Food Industries Index","Unknown","TADAWUL"
"TASI.S","Tadawul All Shares Index","Unknown","TADAWUL"
"TBCSI.S","Building & Construction Index","Unknown","TADAWUL"
"TBFSI.S","Banks & Financial Services Index","Unknown","TADAWUL"
"TCESI.S","Cement Index","Unknown","TADAWUL"
"TEUSI.S","Energy & Utilities Index","Unknown","TADAWUL"
"THTSI.S","Hotel & Tourism Index","Unknown","TADAWUL"
"TINSI.S","Insurance Index","Unknown","TADAWUL"
"TIVSI.S","Industrial Investment Index","Unknown","TADAWUL"
"TMISI.S","Multi-Investment Index","Unknown","TADAWUL"
"TMPSI.S","Media and Publishing Index","Unknown","TADAWUL"
"TPISI.S","Petrochemical Industries Index","Unknown","TADAWUL"
"TRDSI.S","Real Estate Development Index","Unknown","TADAWUL"
"TRESI.S","Retail Index","Unknown","TADAWUL"
"TSBI.S","Tadawul Sukuk & Bonds Index","Unknown","TADAWUL"
"TTISI.S","Telecom & Information Technology Index","Unknown","TADAWUL"
"TTRSI.S","Transport Index","Unknown","TADAWUL"
