"Code","Symbol","Name","英文名称","注册地址","A股代码","A股简称","A股上市日期","A股总股本","A股流通股本","B股代码","B股 简 称","B股上市日期","B股总股本","B股流通股本","地 区","省 份","城 市","所属行业","公司网址"
000001.SZ,"深发展","深圳发展银行股份有限公司","SHENZHEN DEVELOPMENT BANK CO.,LTD","广东省深圳市深南东路5047号深圳发展银行大厦",1,"深发展Ａ",04/03/91,3105433762,3102459441,,,,0,0,"华南","广东","深圳市","I 金融保险","www.sdb.com.cn"
000002.SZ,"万科","万科企业股份有限公司","CHINA VANKE CO., LTD","广东省深圳市盐田区大梅沙环梅路33号万科中心",2,"万 科Ａ",01/29/91,9680254750,9652361705,200002,"万 科Ｂ",05/28/93,1314955468,1314955468,"华南","广东","深圳市","J 房地产业","www.vanke.com"
000004.SZ,"国农科技","深圳中国农大科技股份有限公司","SHENZHEN CAU TECHNOLOGY CO., LTD","广东省深圳市福田区商报路奥林匹克大厦6层D-E室",4,"ST国农",12/01/90,83976684,70248969,,,,0,0,"华南","广东","深圳市","F 运输仓储","www.cau-tech.com"
000005.SZ,"世纪星源","深圳世纪星源股份有限公司","SHENZHEN FOUNTAIN CORPORATION","广东省深圳市人民南路发展中心大厦13层",5,"世纪星源",12/10/90,914333607,912315959,,,,0,0,"华南","广东","深圳市","M 综合类","www.fountain.com.cn"
000006.SZ,"深振业","深圳市振业(集团)股份有限公司","SHENZHEN ZHENYE(GROUP) CO.,LTD","深圳市罗湖区宝安南路2014号振业大厦B座11-17层",6,"深振业Ａ",04/27/92,760774893,740176374,,,,0,0,"华南","广东","深圳市","J 房地产业","www.zhenye.com"
000007.SZ,"深零七","深圳市零七股份有限公司","SHENZHEN Zero-Seven CO., LTD","深圳市华强北路1058 号现代之窗大厦A 座25 层",7,"ST零七",04/13/92,184965363,184776701,,,,0,0,"华南","广东","深圳市","K 社会服务",
000008.SZ,"宝利来","广东宝利来投资股份有限公司","BAOLILAI INVESTMENT CO.，LTD. GUANGDONG","广东省深圳市南山区内环路5号锦兴工业小区管理楼二楼",8,"ST宝利来",05/07/92,73653208,51662381,,,,0,0,"华南","广东","深圳市","G 信息技术",
000009.SZ,"中国宝安","中国宝安集团股份有限公司","CHINA BAOAN GROUP CO.,LTD","深圳市笋岗东路宝安广场A座二十八、二十九层",9,"中国宝安",06/25/91,1090750529,1070665114,,,,0,0,"华南","广东","深圳市","M 综合类","www.chinabaoan.com"
000010.SZ,"深华新","北京深华新股份有限公司","SHENZHEN HUAXIN CO., LTD","北京市延庆县百泉街10号2栋349室",10,"S ST华新",10/27/95,147017448,67599944,,,,0,0,"华北","北京","北京市","H 批发零售",
000011.SZ,"深物业","深圳市物业发展(集团)股份有限公司","SHENZHEN PROPERTIES & RESOURCES DEVELOPMENT (GROUP)CO., LTD","广东省深圳市人民南路国贸大厦39、42层",11,"深物业A",03/30/92,528373849,139706036,200011,"深物业B",03/30/92,67605243,67601201,"华南","广东","深圳市","M 综合类","www.szwuye.com.cn"
000012.SZ,"南玻集团","中国南玻集团股份有限公司","CSG HOLDING CO.,LTD.","中国深圳市蛇口工业六路一号南玻大厦",12,"南 玻Ａ",02/28/92,1315998568,981225369,200012,"南 玻Ｂ",02/28/92,762583992,762583992,"华南","广东","深圳市","C6 金属非金属","www.csgholding.com"
000014.SZ,"沙河股份","沙河实业股份有限公司","SHAHE INDUSTRIAL CO.,LTD.","广东省深圳市南山区沙河商城七楼",14,"沙河股份",06/02/92,201705187,201701025,,,,0,0,"华南","广东","深圳市","J 房地产业","www.shahe.cn"
000016.SZ,"深康佳","康佳集团股份有限公司","KONKA GROUP CO.,LTD","广东省深圳市南山区华侨城",16,"深康佳Ａ",03/27/92,798296900,599424000,200016,"深康佳Ｂ",03/27/92,405675804,405675804,"华南","广东","深圳市","C5 电子","www.konka.com"
000017.SZ,"深中华","深圳中华自行车(集团)股份有限公司","SHENZHEN CHINA BICYCLE COMPANY(HOLDINGS) CO.,LTD","中国广东省深圳市布心路三零零八号",17,"*ST中华A",03/31/92,302984965,116133107,200017,"*ST中华B",03/31/92,248362982,248362982,"华南","广东","深圳市","C7 机械设备","www.china-cbc.com"
000018.SZ,"深中冠","深圳中冠纺织印染股份有限公司","SHENZHEN VICTOR ONWARD TEXTILE INDUSTRIAL CO.,LTD","广东省深圳市龙岗区葵涌镇白石岗葵鹏路26号",18,"ST中冠A",06/16/92,99720453,99579574,200018,"ST中冠B",06/16/92,69421903,69421903,"华南","广东","深圳市","C1 纺织服装","www.chinaszvo.com"
000019.SZ,"深深宝","深圳市深宝实业股份有限公司","SHENZHEN SHENBAO INDUSTRIAL CO.,LTD","中国深圳市福田区竹子林四路紫竹七道26号教育科技大厦塔楼20层南半层",19,"深深宝Ａ",10/12/92,155787088,141074036,200019,"深深宝Ｂ",10/12/92,26136000,26136000,"华南","广东","深圳市","C0 食品饮料","www.sbsy.com.cn"
000020.SZ,"深华发","深圳中恒华发股份有限公司","SHENZHEN HUAFA ELECTRONICS CO., LTD.","广东省深圳市福田区华发北路411栋",20,"深华发Ａ",04/28/92,181165391,64656289,200020,"深华发Ｂ",04/28/92,101995836,101995836,"华南","广东","深圳市","C5 电子","www.hwafa.com"
000021.SZ,"长城开发","深圳长城开发科技股份有限公司","SHENZHEN KAIFA TECHNOLOGY CO., LTD","广东省深圳市福田区彩田路7006号",21,"长城开发",02/02/94,1319277781,1317894655,,,,0,0,"华南","广东","深圳市","G 信息技术","www.kaifa.com.cn"
000022.SZ,"深赤湾","深圳赤湾港航股份有限公司","SHENZHEN CHIWAN WHARF HOLDINGS CO.,LTD","广东省深圳市赤湾港",22,"深赤湾Ａ",05/05/93,464868300,464789805,200022,"深赤湾Ｂ",05/05/93,179895430,179814253,"华南","广东","深圳市","F 运输仓储","www.szcwh.com"
000023.SZ,"深天地","深圳市天地(集团)股份有限公司","SHENZHEN UNIVERSE (GROUP)CO.,LTD","深圳市高新技术产业园北区朗山路东物商业大楼10 楼",23,"深天地Ａ",04/29/93,138756240,98770414,,,,0,0,"华南","广东","深圳市","E 建筑业","www.000023.cn"
000024.SZ,"招商地产","招商局地产控股股份有限公司","CHINA MERCHANTS PROPERTY DEVELOPMENT CO., LTD","广东省深圳南山区蛇口工业区兴华路6号南海意库3号楼",24,"招商地产",06/07/93,1377957213,646420444,200024,"招商局Ｂ",06/07/93,339343290,338153721,"华南","广东","深圳市","J 房地产业","www.cmpd.cn"
000025.SZ,"深特力","深圳市特力(集团)股份有限公司","SHENZHEN TELLUS HOLDING CO.,LTD","广东省深圳市罗湖区水贝二路56号特力大厦三楼",25,"特 力Ａ",06/21/93,193881600,179294544,200025,"特 力Ｂ",06/21/93,26400000,26400000,"华南","广东","深圳市","M 综合类","www.tellus.cn"
000026.SZ,"飞亚达","深圳市飞亚达(集团)股份有限公司","SHENZHEN FIYTA HOLDINGS LTD.","广东省深圳市南山区高新南一道飞亚达科技大厦",26,"飞亚达Ａ",06/03/93,190997999,79546974,200026,"飞亚达Ｂ",06/03/93,58320000,58320000,"华南","广东","深圳市","C7 机械设备","www.fiyta.com.cn"
000027.SZ,"深圳能源","深圳能源集团股份有限公司","Shenzhen Energy Group Co., Ltd.","深圳市区福田区深南中路2068 号华能大厦5，33，35-36， 38-41层",27,"深圳能源",09/03/93,2202495332,598657162,,,,0,0,"华南","广东","深圳市","D 水电煤气","www.sec.com.cn"
000028.SZ,"一致药业","深圳一致药业股份有限公司","SHENZHEN ACCORD PHARMACEUTICAL CO., LTD","广东省深圳市八卦四路15号一致药业大厦",28,"一致药业",08/09/93,233263800,233259086,200028,"一 致Ｂ",08/09/93,54885600,54885600,"华南","广东","深圳市","C8 医药生物","www.szaccord.com.cn"
000029.SZ,"深房集团","深圳经济特区房地产(集团)股份有限公司","SHENZHEN SPECIAL ECONOMIC ZONE REAL ESTATE（GROUP）CO.,LTD.","广东省深圳市人民南路3005号深房广场47楼",29,"深深房Ａ",09/15/93,891660000,891660000,200029,"深深房Ｂ",01/10/94,120000000,120000000,"华南","广东","深圳市","J 房地产业",
000030.SZ,"盛润股份","广东盛润集团股份有限公司","GUANGDONG SUNRISE HOLDINGS CO.,LTD","深圳市福田区泰然大道劲松大厦5D",30,"*ST盛润A",09/29/93,248820000,66348879,200030,"*ST盛润B",09/29/93,39600000,39600000,"华南","广东","深圳市","C9 其他制造业","www.lionda.com"
000031.SZ,"中粮地产","中粮地产（集团）股份有限公司","COFCO PROPERTY (GROUP) CO.,LTD.","广东省深圳市宝安区湖滨路5号宝恒大厦",31,"中粮地产",10/08/93,1813731596,1813716240,,,,0,0,"华南","广东","深圳市","J 房地产业","www.cofco-property.cn"
000032.SZ,"深桑达","深圳市桑达实业股份有限公司","SHENZHEN SED INDUSTRY CO.,LTD","深圳市南山区科技园科技路1 号桑达科技大厦15―17 楼",32,"深桑达Ａ",10/28/93,232864320,232819164,,,,0,0,"华南","广东","深圳市","G 信息技术","www.sedind.com"
000033.SZ,"新都酒店","深圳新都酒店股份有限公司","SHENZHEN CENTURY PLAZA HOTEL CO.,LTD","广东省深圳市春风路一号",33,"新都酒店",01/03/94,329402050,329400349,,,,0,0,"华南","广东","深圳市","K 社会服务","www.szcenturyplaza.com"
000034.SZ,"深信泰丰","深圳市深信泰丰(集团)股份有限公司","SHENZHEN SHENXIN TAIFENG GROUP CO., LTD","广东省深圳市宝安区宝城宝民一路102号",34,"*ST深泰",05/09/94,357973531,188527420,,,,0,0,"华南","广东","深圳市","M 综合类","www.sxtf.com.cn"
000035.SZ,"中科健","中国科健股份有限公司","CHINA KEJIAN CO.,LTD","广东省深圳市南山区蛇口南海大道1065号南山大厦南座700A",35,"*ST科健",04/08/94,150006560,85392560,,,,0,0,"华南","广东","深圳市","G 信息技术","www.chinakejian.net"
000036.SZ,"华联控股","华联控股股份有限公司","CHINA UNION HOLDINGS LTD","广东省深圳市深南中路华联大厦17楼",36,"华联控股",06/17/94,1123887712,1123882733,,,,0,0,"华南","广东","深圳市","C1 纺织服装","www.udcgroup.com"
000037.SZ,"深南电","深圳南山热电股份有限公司","SHENZHEN NANSHAN POWER STATION CO.,LTD","深圳市南山区月亮湾大道2097号",37,"深南电Ａ",07/01/94,338908150,338891172,200037,"深南电Ｂ",11/28/94,263854446,263854446,"华南","广东","深圳市","D 水电煤气","www.nsrd.com.cn"
000038.SZ,"深大通","深圳大通实业股份有限公司","SHENZHEN CAPSTONE INDUSTRIAL CO.,LTD","广东省深圳市华侨城东部工业区",38,"*ST大通",08/08/94,96227998,24881998,,,,0,0,"华南","广东","深圳市","G 信息技术",
000039.SZ,"中集集团","中国国际海运集装箱(集团)股份有限公司","CHINA INTERNATIONAL MARINE CONTAINERS (GROUP) CO., LTD","深圳市南山蛇口工业区港湾大道2 号中集研发中心8 楼",39,"中集集团",04/08/94,1231915542,1231297165,200039,"中 集Ｂ",03/23/94,1430480509,1430478709,"华南","广东","深圳市","C6 金属非金属","www.cimc.com"
000040.SZ,"深鸿基","鸿基地产集团股份有限公司","SHENZHEN HONGKAI(GROUP) CO.,LTD","广东省深圳市罗湖区东门中路1011号鸿基大厦25―27楼",40,"深 鸿 基",08/08/94,469593364,365971237,,,,0,0,"华南","广东","深圳市","M 综合类","www.0040.com.cn"
000042.SZ,"深长城","深圳市长城投资控股股份有限公司","SHENZHEN CHANGCHENG REAL ESTATE (GROUP) HOLDINGS CO.,LTD","广东省深圳市福田区百花五路长源楼",42,"深 长 城",09/21/94,239463040,239368533,,,,0,0,"华南","广东","深圳市","J 房地产业","www.cctzkg.com"
000043.SZ,"中航地产","中航地产股份有限公司","SHENZHEN CATIC REAL ESTATE CO〉，LTD","深圳市福田区振华路163号飞亚达大厦六楼",43,"中航地产",09/28/94,222320472,138691405,,,,0,0,"华南","广东","深圳市","M 综合类","www.carec.com.cn"
000045.SZ,"深纺织","深圳市纺织(集团)股份有限公司","SHENZHEN TEXTILE (HOLDINGS) CO., LTD","广东省深圳市福田区华强北路3号深纺大厦六楼",45,"深纺织Ａ",08/15/94,195624000,195560550,200045,"深纺织Ｂ",08/15/94,49500000,49494713,"华南","广东","深圳市","C1 纺织服装","www.chinasthc.com"
000046.SZ,"泛海建设","泛海建设集团股份有限公司","OCEANWIDE　CONSTRUCTION GROUP CO.，LTD.","广东省深圳市福田区福华一路深圳国际商会大厦A 座十六楼",46,"泛海建设",09/12/94,2278655884,448257980,,,,0,0,"华南","广东","深圳市","J 房地产业","www.fhjs.cn"
000048.SZ,"康达尔","深圳市康达尔（集团）股份有限公司","SHENZHEN KONDARL(GROUP)CO., LTD","广东省深圳市罗湖区深南东路1086号集浩大厦二、三楼",48,"ST康达尔",11/01/94,390768671,379850252,,,,0,0,"华南","广东","深圳市","C0 食品饮料","www.kondarl.com"
000049.SZ,"德赛电池","深圳市德赛电池科技股份有限公司","SHENZHEN DESAY BATTERY TECHNOLOGY CO.,LTD","广东省深圳市深圳市红荔西路7002号第壹世界广场A座18楼B",49,"德赛电池",03/20/95,136829159,136786972,,,,0,0,"华南","广东","深圳市","C7 机械设备","www.desaybattery.com"
000050.SZ,"天马","天马微电子股份有限公司","TIANMA MICROELECTRONICS CO., LTD","广东省深圳市深南中路中航苑航都大厦22层南",50,"深天马Ａ",03/15/95,574237500,312140519,,,,0,0,"华南","广东","深圳市","C5 电子","www.tianma.com.cn"
000053.SZ,"深基地","深圳赤湾石油基地股份有限公司","SHENZHEN CHIWAN PETROLEUM SUPPLY BASE CO., LTD","广东省深圳市南山区赤湾基地楼",,,,0,0,200053,"深基地Ｂ",07/28/95,111180000,111148800,"华南","广东","深圳市","B 采掘业","www.chiwanbase.com/"
000054.SZ,"建设摩托","重庆建设摩托车股份有限公司","CHONGQING JIANSHE MOTORCYCLE CO.,LTD","重庆市巴南区花溪工业园建设大道1号",,,,0,0,200054,"建 摩Ｂ",07/25/95,120000000,120000000,"西南","重庆","重庆市","C7 机械设备","www.jianshe.com.cn"
000055.SZ,"方大集团","方大集团股份有限公司","CHINA FANGDA GROUP CO., LTD","广东省深圳市高新区科技南十二路方大大厦",55,"方大集团",04/15/96,280639145,232624317,200055,"方大Ｂ",11/29/95,223967459,223967459,"华南","广东","深圳市","C6 金属非金属","www.fangda.com"
000056.SZ,"深国商","深圳市国际企业股份有限公司","SHENZHEN INTERNATIONAL ENTERPRISE CO.,LTD","广东省深圳市人民南路发展中心大厦23层",56,"深 国 商",07/08/96,119212992,118892232,200056,"深国商Ｂ",10/30/95,101688192,101568292,"华南","广东","深圳市","H 批发零售","www.china-ia.com"
000058.SZ,"深赛格","深圳赛格股份有限公司","SHENZHEN SEG CO.,LTD","中国深圳市福田区华强北路群星广场A 座三十一楼",58,"深 赛 格",12/26/96,538337692,538302228,200058,"深赛格B",07/22/96,246461318,246461318,"华南","广东","深圳市","C5 电子","www.segcl.com.cn"
000059.SZ,"辽通化工","辽宁华锦通达化工股份有限公司","LIAONI HUAJIN TONGDA CHEMICALS CO.,LTD","辽宁省盘锦市双台区红旗大街",59,"辽通化工",01/30/97,1200506367,986225214,,,,0,0,"东北","辽宁","盘锦市","C4 石化塑胶","www.lthg.com"
000060.SZ,"中金岭南","深圳市中金岭南有色金属股份有限公司","SHENZHEN ZHONGJIN LINGNAN NONFEMET CO.,LTD","广东省深圳市福田区车公庙深南大道6013号中国有色大厦24楼",60,"中金岭南",01/23/97,1586877600,1585216839,,,,0,0,"华南","广东","深圳市","C6 金属非金属","www.nonfemet.com"
000061.SZ,"农产品","深圳市农产品股份有限公司","SHENZHEN AGRICULTURAL PRODUCTS CO., LTD","广东省深圳市布吉路1021号天乐大厦22楼",61,"农 产 品",01/10/97,768507851,649249659,,,,0,0,"华南","广东","深圳市","H 批发零售","www.szap.com"
000062.SZ,"深圳华强","深圳华强实业股份有限公司","SHENZHEN HUAQIANG INDUSTRY CO., LTD","深圳市南山区科技中一路西华强高新发展大楼",62,"深圳华强",01/30/97,666949797,166873765,,,,0,0,"华南","广东","深圳市","M 综合类","www.szhq.com"
000063.SZ,"中兴通讯","中兴通讯股份有限公司","ZTE CORPORATION","深圳市南山区高新技术产业园科技南路中兴通讯大厦",63,"中兴通讯",11/18/97,2342077146,2272566383,,,,0,0,"华南","广东","深圳市","G 信息技术","www.zte.com.cn"
000065.SZ,"北方国际","北方国际合作股份有限公司","NORINCO INTERNATIONAL COOPERATION LTD.","北京市丰台区南四环西路188号总部基地12区47号楼3层",65,"北方国际",06/05/98,162437120,162437120,,,,0,0,"华北","北京","北京市","E 建筑业","www.norinco-intl.com"
000066.SZ,"长城电脑","中国长城计算机深圳股份有限公司","CHINA GREATWALL COMPUTER SHENZHEN CO., LTD","广东省深圳南山区科技工业园长城计算机大厦",66,"长城电脑",06/26/97,1100379600,1100156876,,,,0,0,"华南","广东","深圳市","G 信息技术","www.greatwall.com.cn"
000068.SZ,"赛格三星","深圳赛格三星股份有限公司","SHENZHEN SEG SAMSUNG GLASS CO., LTD","深圳市大工业区兰竹大道以北CH3 主厂房",68,"ST三星",06/11/97,896671464,608852527,,,,0,0,"华南","广东","深圳市","C5 电子","www.ssg.com.cn"
000069.SZ,"华侨城","深圳华侨城股份有限公司","SHENZHEN OVERSEAS CHINESE TOWN CO.,LTD","广东省深圳市南山区华侨城办公大楼三楼",69,"华侨城Ａ",09/10/97,3107478020,1339173467,,,,0,0,"华南","广东","深圳市","K 社会服务","www.octholding.com"
000070.SZ,"特发信息","深圳市特发信息股份有限公司","SHENZHEN SDG INFORMATION CO., LTD","广东省深圳市南山区科技工业园科丰路2号通讯大厦4楼",70,"特发信息",05/11/00,250000000,237694361,,,,0,0,"华南","广东","深圳市","C5 电子","www.sdgi0070.com"
000078.SZ,"海王生物","深圳市海王生物工程股份有限公司","SHENZHEN NEPTUNUS BIOENGINEERING CO.,LTD","广东省深圳市南山区郎山二路北海王技术中心科研大楼1栋",78,"海王生物",12/18/98,652510385,651564483,,,,0,0,"华南","广东","深圳市","C8 医药生物","www.neptunus.com"
000088.SZ,"盐田港","深圳市盐田港股份有限公司","SHENZHEN YAN TIAN PORT HOLDINGS CO.,LTD","广东省深圳市盐田区盐田港海港大厦十八――二十层",88,"盐 田 港",07/28/97,1245000000,406157404,,,,0,0,"华南","广东","深圳市","F 运输仓储","www.yantian-port.com"
000089.SZ,"深圳机场","深圳市机场股份有限公司","SHENZHEN AIRPORT CO.,LTD","广东省深圳市宝安区宝安机场第一办公楼三、四层",89,"深圳机场",04/20/98,1690243200,653139911,,,,0,0,"华南","广东","深圳市","F 运输仓储","www.szairport.com"
000090.SZ,"深天健","深圳市天健(集团)股份有限公司","SHENZHEN TONGE GROUP CO.,LTD","广东省深圳市福田区红荔西路7058号市政大厦",90,"深 天 健",07/21/99,456637020,436083151,,,,0,0,"华南","广东","深圳市","E 建筑业","www.tonge.com.cn"
000096.SZ,"广聚能源","深圳市广聚能源股份有限公司","SHENZHEN GUANGJU ENERGY CO., LTD","深圳市南山区海德三道天利中央商务广场22楼",96,"广聚能源",07/24/00,528000000,510769664,,,,0,0,"华南","广东","深圳市","H 批发零售","www.gj000096.com"
000099.SZ,"中信海直","中信海洋直升机股份有限公司","CITIC OFFSHORE HELICOPTER CO.,LTD","广东省深圳市罗湖区解放西路188号农业银行大厦19楼",99,"中信海直",07/31/00,513600000,274027936,,,,0,0,"华南","广东","深圳市","F 运输仓储","www.china-cohc.com"
000100.SZ,"TCL集团","TCL集团股份有限公司","TCL CORPORATION","广东省惠州市仲恺高新技术开发区十九号小区",100,"TCL 集团",01/30/04,2936931144,2801456067,,,,0,0,"华南","广东","惠州市","C5 电子","www.tcl.com"
000150.SZ,"宜华地产","宜华地产股份有限公司","YIHUA REAL ESTATE CO.,LTD.","广东省汕头市澄海区文冠路北侧",150,"宜华地产",08/07/00,324000000,166964384,,,,0,0,"华南","广东","汕头市","J 房地产业","www.yihuarealestate.com"
000151.SZ,"中成股份","中成进出口股份有限公司","CHINA NATIONAL COMPLETE PLANT IMPORT & EXPORT CO.,LTD","北京市丰台区科学城10D地块2号楼",151,"中成股份",09/06/00,295980000,266543967,,,,0,0,"华北","北京","北京市","K 社会服务","www.complant-ltd.com/"
000152.SZ,"山航Ｂ","山东航空股份有限公司","SHANDONG AIRLINES CO.,LTD","山东省济南市遥墙国际机场",,,,0,0,200152,"山 航Ｂ",09/12/00,140000000,140000000,"华东","山东","济南市","F 运输仓储","www.shandongair.com.cn"
000153.SZ,"丰原药业","安徽丰原药业股份有限公司","ANHUI FENGYUAN PHARMACEUTICAL CO., LTD","安徽省无为县北门外大街108号",153,"丰原药业",09/20/00,260009200,231045200,,,,0,0,"华东","安徽","巢湖市","C8 医药生物","www.bbcayy.com"
000155.SZ,"川化股份","川化股份有限公司","SICHUAN CHEMICAL CO.,LTD","中国四川省成都市青白江区大弯镇团结路311号",155,"川化股份",09/26/00,470000000,470000000,,,,0,0,"西南","四川","成都市","C4 石化塑胶","www.scwltd.com"
000156.SZ,"嘉瑞新材","湖南嘉瑞新材料集团股份有限公司","HUNAN GENUINE NEW MATERIAL GROUP CO.,LTD","湖南省洪江市安江镇大沙坪",156,"*ST 嘉瑞",09/06/00,118935730,63935730,,,,0,0,"华中","湖南","怀化市","C4 石化塑胶","www.chnanplas.com"
000157.SZ,"中联重科","长沙中联重工科技发展股份有限公司","CHANGSHA ZOOMLION HEAVY INDUSTRY SCIENCE AND TECHNOLOGY DEVELOPMENT CO., LTD","湖南省长沙市银盆南路361 号",157,"中联重科",10/12/00,1971054705,1672455773,,,,0,0,"华中","湖南","长沙市","C7 机械设备","www.zoomlion.com"
000158.SZ,"常山股份","石家庄常山纺织股份有限公司","SHIJIAZHUANG CHANGSHAN TEXTILE CO.,LTD","河北省石家庄市和平东路183号",158,"常山股份",07/24/00,718861000,718861000,,,,0,0,"华北","河北","石家庄市","C1 纺织服装","www.changshantex.com"
000159.SZ,"国际实业","新疆国际实业股份有限公司","XINJIANG INTERNATIONAL INDUSTRY CO.,LTD","新疆乌鲁木齐市北京南路22号龙岭大厦",159,"国际实业",09/26/00,240569647,240569647,,,,0,0,"西北","新疆","乌鲁木齐市","C4 石化塑胶","www.xjgjsy.com"
000160.SZ,"大路股份","承德大路股份有限公司","CHENGDE DALU CO., LTD.","河北省承德县下板城镇",,,,0,0,200160,"ST大路B",09/29/00,461520000,461520000,"华北","河北","承德市","C1 纺织服装","www.dxtex.com"
000168.SZ,"雷伊","广东雷伊（集团）股份有限公司","GUANGDONG RIEYS GROUP CO.,LTD","广东省普宁市军埠镇美新工业园",,,,0,0,200168,"ST雷伊B",10/27/00,154575000,154575000,"华南","广东","揭阳市","C1 纺织服装","www.200168.com"
000301.SZ,"东方市场","江苏吴江中国东方丝绸市场股份有限公司","Jiangsu Wujiang China Eastern Silk Market Co.,Ltd","江苏省吴江市盛泽镇市场路丝绸股份大厦",301,"东方市场",05/29/00,1218236445,1218236445,,,,0,0,"华东","江苏","苏州市","C1 纺织服装","www.cesm.com.cn"
000338.SZ,"潍柴动力","潍柴动力股份有限公司","Weichai Power Co., Ltd.","山东省潍坊市高新技术产业开发区福寿东街197号甲",338,"潍柴动力",04/30/07,630645683,280820746,,,,0,0,"华东","山东","潍坊市","C7 机械设备","www.weichai.com"
000400.SZ,"许继电气","许继电气股份有限公司","XJ ELECTRIC CO.,LTD","河南省许昌市许继大道",400,"许继电气",04/18/97,378272000,263893269,,,,0,0,"华中","河南","许昌市","C7 机械设备","www.xjec.com"
000401.SZ,"冀东水泥","唐山冀东水泥股份有限公司","TANGSHAN JIDONG CEMENT CO.,LTD","河北省唐山市新区林荫路",401,"冀东水泥",06/14/96,1212770614,1211702679,,,,0,0,"华北","河北","唐山市","C6 金属非金属","www.jdsn.com.cn"
000402.SZ,"金融街","金融街控股股份有限公司","FINANCIAL STREET HOLDINGS CO., LTD.","北京市西城区金融大街丙17号北京银行大厦11层",402,"金 融 街",06/26/96,3027079809,3026437479,,,,0,0,"华北","北京","北京市","J 房地产业","www.jrjkg.com.cn"
000403.SZ,"振兴生化","振兴生化股份有限公司","Sanjiu Yigong Biopharmaceutical & Chemical Inc.","太原市长治路227号高新国际大厦16层",403,"S*ST生化",06/28/96,211683491,101486430,,,,0,0,"华北","山西","太原市","C4 石化塑胶","www.999yichun.cn"
000404.SZ,"华意压缩","华意压缩机股份有限公司","HUAYI COMPRESSOR CO., LTD","江西省景德镇市高新区长虹大道1号",404,"华意压缩",06/19/96,324581218,227468713,,,,0,0,"华东","江西","景德镇市","C7 机械设备","www.hua-yi.com"
000407.SZ,"胜利股份","山东胜利股份有限公司","SHANDONG SHENGLI CO., LTD","山东省济南市高新区天辰大街2238号胜利生物工程园",407,"胜利股份",07/03/96,499409265,496065946,,,,0,0,"华东","山东","济南市","C4 石化塑胶","www.vicome.com"
000408.SZ,"玉源控股","玉源控股股份有限公司","YUYUAN HOLDING CO., LTD","河北省邯郸市峰峰矿区彭新路21号",408,"*ST玉源",06/28/96,252301500,252301500,,,,0,0,"华北","河北","邯郸市","C6 金属非金属","www.yuyuanholding.com"
000409.SZ,"泰复实业","泰复实业股份有限公司","TAIFU INDUSTRY CO., LTD","广东省深圳市福田区泰然四路劲松大厦13E",409,"ST泰复",06/27/96,171374148,168836854,,,,0,0,"华南","广东","深圳市","C7 机械设备",
000410.SZ,"沈阳机床","沈阳机床股份有限公司","SHENYANG MACHINE TOOL CO.,LTD","辽宁省沈阳市铁西区北二东路10-1号",410,"沈阳机床",07/18/96,545470884,536162760,,,,0,0,"东北","辽宁","沈阳市","C7 机械设备","www.smtcl.com"
000411.SZ,"英特集团","浙江英特集团股份有限公司","ZHEJIANG INT’L GROUP CO.,LTD","浙江省杭州市延安路508号",411,"英特集团",07/16/96,207449946,203634696,,,,0,0,"华东","浙江","杭州市","H 批发零售","www.kaidigroup.com"
000413.SZ,"宝石","石家庄宝石电子玻璃股份有限公司","SHIJIAZHUANG BAOSHI ELECTRONIC GLASS CO.,LTD","河北省石家庄市高新技术产业开发区黄河大道9号",413,"宝 石Ａ",09/25/96,283000000,282818885,200413,"宝 石Ｂ",07/08/96,100000000,100000000,"华北","河北","石家庄市","C5 电子",
000415.SZ,"汇通集团","新疆汇通(集团)股份有限公司","XIN JIANG HUI TONG(GROUP)CO.,LTD","中国新疆维吾尔自治区乌鲁木齐市黄河路93号",415,"*ST汇通",07/16/96,300335834,300294880,,,,0,0,"西北","新疆","乌鲁木齐市","E 建筑业","www.huitonggroup.com.cn"
000416.SZ,"民生投资","民生投资管理股份有限公司","Minsheng Investment Management Co.,Ltd","青岛市崂山区株洲路151号",416,"民生投资",07/19/96,531871494,531680754,,,,0,0,"华东","山东","青岛市","C0 食品饮料",
000417.SZ,"合肥百货","合肥百货大楼集团股份有限公司","HEFEI DEPARTMENT STORE GROUP CO.,LTD","安徽省合肥市长江中路150号",417,"合肥百货",08/12/96,479722800,478670872,,,,0,0,"华东","安徽","合肥市","H 批发零售","www.hfbh.com.cn"
000418.SZ,"小天鹅","无锡小天鹅股份有限公司","WUXI LITTLE SWAN CO.,LTD","江苏省无锡市国家高新技术开发区汉江路1号",418,"小天鹅Ａ",03/28/97,356619888,348130368,200418,"小天鹅Ｂ",07/18/96,191035872,191035872,"华东","江苏","无锡市","C7 机械设备","www.littleswan.com"
000419.SZ,"通程控股","长沙通程控股股份有限公司","CHANGSHA TONGCHENG HOLDINGS CO.,LTD","湖南省长沙市劳动西路589号",419,"通程控股",08/16/96,351016310,350769500,,,,0,0,"华中","湖南","长沙市","H 批发零售",
000420.SZ,"吉林化纤","吉林化纤股份有限公司","JILIN CHEMICAL FIBRE CO ., LTD","吉林省吉林市九站街516-1号",420,"吉林化纤",08/02/96,378257464,314453537,,,,0,0,"东北","吉林","吉林市","C4 石化塑胶","www.jlhxjt.com"
