"Code","Symbol","Name","英文名称","注册地址","A股代码","A股简称","A股上市日期","A股总股本","A股流通股本","B股代码","B股 简 称","B股上市日期","B股总股本","B股流通股本","地 区","省 份","城 市","所属行业","公司网址"
000805.SZ,"炎黄物流","江苏炎黄在线物流股份有限公司","JIANGSU CHINESE ONLINE LOGISTICS CO. LTD","江苏省常州市新区河海路96号",805,"*ST炎黄",05/29/98,63648789,20848789,,,,0,0,"华东","江苏","常州市","G 信息技术","www.0805.com.cn"
000806.SZ,"银河科技","北海银河高科技产业股份有限公司","BEIHAI YINHE HI-TECH INDUSTRIAL CO.,LTD","广西北海市银河软件科技园综合办公楼",806,"银河科技",04/16/98,699214962,696914147,,,,0,0,"华南","广西","北海市","C7 机械设备","www.yinhetech.com"
000807.SZ,"云铝股份","云南铝业股份有限公司","YUNNAN ALUMINIUM CO.,LTD","云南省昆明市呈贡县七甸乡",807,"云铝股份",04/08/98,1183979219,587223630,,,,0,0,"西南","云南","昆明市","C6 金属非金属","www.ylgf.com"
000809.SZ,"中汇医药","四川中汇医药(集团)股份有限公司","SICHUAN JOINT-WIT MEDICAL & PHARMACEUTICAL INDUSTRY CO., LTD","四川省成都市高新区技术创新服务中心西部园区基地A-215",809,"中汇医药",06/16/98,114570000,114568961,,,,0,0,"西南","四川","成都市","C1 纺织服装","www.cdzhonghui.com"
000810.SZ,"华润锦华","华润锦华股份有限公司","CHINA RESOURCES JINHUA CO.,LTD.","四川省遂宁市遂州中路309号",810,"华润锦华",06/02/98,129665718,129665718,,,,0,0,"西南","四川","遂宁市","C1 纺织服装","www.hrjh.com.cn"
000811.SZ,"烟台冰轮","烟台冰轮股份有限公司","YANTAI MOON CO ., LTD","山东省烟台市芝罘区西山路80号",811,"烟台冰轮",05/28/98,263064945,200416478,,,,0,0,"华东","山东","烟台市","C7 机械设备","www.yantaimoon.com"
000812.SZ,"陕西金叶","陕西金叶科教集团股份有限公司","SHAANXI JINYE SCIENCE TECHNOLOGY AND EDUCATION GROUP CO.,LTD","陕西省西安市高新技术开发区(西区)高新三路9号",812,"陕西金叶",06/23/98,372813043,372761567,,,,0,0,"西北","陕西","西安市","C3 造纸印刷",
000813.SZ,"天山纺织","新疆天山毛纺织股份有限公司","XINJIANG TIANSHAN WOOL TEX STOCK CO., LTD","新疆乌鲁木齐市银川路1号",813,"天山纺织",05/19/98,363456000,363456000,,,,0,0,"西北","新疆","乌鲁木齐市","C1 纺织服装","www.chinatianshan.com"
000815.SZ,"美利纸业","中冶美利纸业股份有限公司","NINGXIA MEILI PAPER INDUSTRY CO.,LTD","宁夏回族自治区银川市",815,"美利纸业",06/09/98,316800000,315555725,,,,0,0,"西北","宁夏","银川市","C3 造纸印刷","www.china-meili.com"
000816.SZ,"江淮动力","江苏江淮动力股份有限公司","JIANGSU JIANGHUAI ENGINE CO.,LTD","江苏省盐城市环城西路213号",816,"江淮动力",08/18/97,846000000,845962933,,,,0,0,"华东","江苏","盐城市","C7 机械设备","www.jdchina.com"
